"","case","frame_level","configuration.conf1","configuration.conf2","VD.magnitude","VD.estimate","wilcox.test.pvalue","VD.estimate.category"
"1","MATH-84b",3,"model s. 0.5","no s.","medium",0.311666666666667,0.000522312173418604,"< 0.5"
"2","XWIKI-14152",5,"model s. 0.5","no s.","medium",0.325,0.00285545218942235,"< 0.5"
