"","case","frame_level","configuration.conf1","configuration.conf2","VD.magnitude","VD.estimate","wilcox.test.pvalue","VD.estimate.category"
"1","MOCKITO-10b",2,"model s. 0.5","no s.","large",0.2,8.86112473338148e-07,"< 0.5"
"2","XWIKI-13141",1,"model s. 0.5","no s.","large",0.0222222222222222,4.87723195723962e-12,"< 0.5"
