"","case","frame_level","configuration.conf1","configuration.conf2","VD.magnitude","VD.estimate","wilcox.test.pvalue","VD.estimate.category"
"1","LANG-9b",10,"model s. 0.2","no s.","small",0.35,0.00137018591756696,"< 0.5"
"2","MOCKITO-36b",1,"model s. 0.2","no s.","small",0.347222222222222,0.00268402379391215,"< 0.5"
