"","case","frame_level","configuration.conf1","configuration.conf2","VD.magnitude","VD.estimate","wilcox.test.pvalue","VD.estimate.category"
"1","MOCKITO-10b",2,"model s. 0.2","no s.","large",0.166666666666667,1.30482076058402e-07,"< 0.5"
"2","XWIKI-13141",1,"model s. 0.2","no s.","large",0.0277777777777778,8.43719179634462e-12,"< 0.5"
