"","case","frame_level","configuration.conf1","configuration.conf2","VD.magnitude","VD.estimate","wilcox.test.pvalue","VD.estimate.category"
"1","TIME-5b",3,"model s. 1.0","no s.","small",0.603333333333333,0.0346270350191651,"> 0.5"
"2","XWIKI-12667",6,"model s. 1.0","no s.","small",0.633333333333333,0.00278800630081608,"> 0.5"
