"","case","frame_level","configuration.conf1","configuration.conf2","VD.magnitude","VD.estimate","wilcox.test.pvalue","VD.estimate.category"
"1","MATH-84b",3,"model s. 1.0","no s.","medium",0.3,0.000144377506368782,"< 0.5"
"2","MOCKITO-36b",1,"model s. 1.0","no s.","medium",0.333333333333333,0.000660858212449105,"< 0.5"
