execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,0.8823529411764706,27500,"[3.0,100][0.8823529411764706,1700]"
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,200,"[3.0,100][0.0,200]"
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,32500,"[3.0,100][0.8181818181818182,700]"
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,600,"[5.85,100][4.4,200][3.0,400][0.0,600]"
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,0.8823529411764706,30000,"[3.0,100][0.8823529411764706,18600]"
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,32500,"[3.0,100][0.8181818181818182,2900]"
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,0.8823529411764706,24900,"[3.0,100][0.8823529411764706,10800]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,1200,"[3.0,100][0.0,1200]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,27700,"[3.0,100][0.8571428571428571,13700][0.8181818181818182,17400]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,400,"[3.0,100][0.0,400]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,1500,"[3.0,100][0.0,1500]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,0.8823529411764706,32900,"[3.0,100][0.8823529411764706,11300]"
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,700,"[5.75,100][3.0,200][0.0,700]"
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,32800,"[3.0,100][0.8181818181818182,6300]"
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,0.8823529411764706,32900,"[3.0,100][0.8823529411764706,16100]"
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,1500,"[5.85,100][3.0,200][0.0,1500]"
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,1500,"[4.0,100][3.0,200][0.0,1500]"
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,500,"[5.75,100][3.0,200][0.0,500]"
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,2200,"[3.0,100][0.0,2200]"
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,200,"[3.0,100][0.0,200]"
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,1900,"[3.0,100][0.0,1900]"
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,700,"[4.4,100][3.0,200][0.0,700]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
1,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,700,"[5.25,100][3.0,200][0.0,700]"
2,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,500,"[5.25,100][3.0,200][0.0,500]"
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,1200,"[3.0,100][0.0,1200]"
3,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,300,"[4.0,100][0.0,300]"
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,3500,"[3.0,100][0.0,3500]"
5,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,600,"[5.25,100][3.0,200][0.0,600]"
7,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,500,"[5.25,100][3.0,200][0.0,500]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,29300,"[3.0,100][0.8181818181818182,1200]"
4,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,1100,"[5.25,100][5.142857142857142,200][3.0,500][0.0,1100]"
8,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,200,"[5.25,100][0.0,200]"
6,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,1200,"[5.25,100][4.0,200][3.0,700][0.0,1200]"
9,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,600,"[5.25,100][4.0,200][0.0,600]"
10,math,MATH-100b,100b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,800,"[5.25,100][3.0,200][0.0,800]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,3200,"[4.0,100][3.0,200][0.0,3200]"
1,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,2600,"[5.0,100][3.0,700][0.7272727272727273,1600][0.0,2600]"
2,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,2800,"[5.982142857142858,100][5.454545454545455,2200][0.0,2800]"
2,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,3800,"[5.949999999999999,100][0.6666666666666666,1400][0.0,3800]"
3,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,700,"[5.982142857142858,100][0.4,200][0.0,700]"
1,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,5700,"[5.982142857142858,100][5.454545454545455,900][0.4,3100][0.0,5700]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,3.0,25900,"[3.0,100]"
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,24500,"[3.0,100][0.8181818181818182,1200]"
1,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,7100,"[5.949999999999999,100][0.6666666666666666,300][0.0,7100]"
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
1,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,7300,"[5.9625,100][3.0,6600][0.5714285714285715,6900][0.0,7300]"
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
7,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,0.8823529411764706,18900,"[3.0,100][0.8823529411764706,8100]"
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,21000,"[3.0,100][0.8181818181818182,2400]"
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
8,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,0.8823529411764706,17800,"[3.0,100][0.8823529411764706,10000]"
3,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,2500,"[5.949999999999999,100][0.6666666666666666,1300][0.0,2500]"
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,21900,"[3.0,100][0.8181818181818182,300]"
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
9,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,3.0,16100,"[3.0,100]"
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,21800,"[3.0,100][0.8181818181818182,4000]"
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
10,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,10,62328,3.0,16700,"[3.0,100]"
4,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,900,"[5.9625,100][3.0,200][0.5714285714285715,400][0.0,900]"
2,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,8000,"[5.0,100][0.7272727272727273,1500][0.0,8000]"
1,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,12700,"[0.7138047138047138,100]"
1,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,13900,"[0.7138047138047138,100]"
4,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,1500,"[5.949999999999999,100][0.6666666666666666,600][0.0,1500]"
2,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,5.9625,9300,"[5.9625,100]"
4,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,3800,"[5.982142857142858,100][5.454545454545455,3200][0.0,3800]"
7,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,1400,"[5.949999999999999,100][0.6666666666666666,800][0.0,1400]"
7,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,1600,"[5.982142857142858,100][0.4,700][0.0,1600]"
6,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,1300,"[5.949999999999999,100][0.6666666666666666,300][0.0,1300]"
2,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,10600,"[0.7138047138047138,100]"
5,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,3800,"[5.949999999999999,100][0.6666666666666666,2400][0.0,3800]"
2,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,10000,"[0.7138047138047138,100]"
6,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,3400,"[5.0,100][3.0,400][0.7272727272727273,1400][0.0,3400]"
3,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.5714285714285715,7200,"[5.9625,100][3.0,4500][0.5714285714285715,5700]"
5,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,4700,"[5.982142857142858,100][5.538461538461538,200][0.4,800][0.0,4700]"
3,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,7400,"[0.7138047138047138,100]"
3,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,9600,"[0.7138047138047138,100]"
3,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.7272727272727273,6000,"[5.0,100][4.0,600][0.7272727272727273,1400]"
4,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.7272727272727273,8300,"[5.0,100][3.0,200][0.7272727272727273,1100]"
4,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,9200,"[0.7138047138047138,100]"
4,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,8100,"[0.7138047138047138,100]"
9,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,1800,"[5.0,100][0.7272727272727273,500][0.0,1800]"
5,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,5.9625,3400,"[5.9625,100]"
5,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.7272727272727273,6200,"[5.0,100][0.7272727272727273,200]"
5,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,7600,"[0.7138047138047138,100]"
3,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
5,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,8900,"[0.7138047138047138,100]"
7,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,4000,"[5.9625,100][3.0,2400][0.5714285714285715,3400][0.0,4000]"
6,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,6900,"[5.982142857142858,100][5.454545454545455,2300][0.0,6900]"
1,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,600,"[3.0,100][0.0,600]"
2,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,400,"[3.0,100][0.0,400]"
6,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.5714285714285715,8800,"[3.0,100][0.5714285714285715,2000]"
7,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
9,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
8,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,4700,"[3.0,100][0.6666666666666666,200][0.0,4700]"
6,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,6600,"[0.7138047138047138,100]"
6,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,4600,"[0.7138047138047138,100]"
5,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,500,"[3.0,100][0.0,500]"
8,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,4200,"[5.0,100][0.7272727272727273,300][0.0,4200]"
7,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,4.0,5400,"[5.0,100][4.0,600]"
7,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,4600,"[0.7138047138047138,100]"
7,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,4100,"[0.7138047138047138,100]"
8,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,5.454545454545455,4300,"[5.982142857142858,100][5.538461538461538,3000][5.454545454545455,3800]"
8,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,5.9625,4300,"[5.9625,100]"
8,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,2200,"[3.0,100][0.0,2200]"
10,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,4600,"[5.0,100][0.0,4600]"
9,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,6200,"[5.9625,100][3.0,800][0.5714285714285715,1200][0.0,6200]"
4,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,4600,"[3.0,100][0.0,4600]"
8,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,10300,"[0.7138047138047138,100]"
8,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,8400,"[0.7138047138047138,100]"
10,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,4400,"[5.949999999999999,100][0.6666666666666666,3700][0.0,4400]"
9,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,5.982142857142858,7600,"[5.982142857142858,100]"
9,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,3,62328,0.0,6000,"[5.949999999999999,100][3.0,2100][0.6666666666666666,2300][0.0,6000]"
9,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,6900,"[0.7138047138047138,100]"
10,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,7900,"[5.9625,100][4.2,1000][3.0,2600][0.5714285714285715,2700][0.0,7900]"
9,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,10300,"[0.7138047138047138,100]"
10,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.4,7300,"[5.454545454545455,100][3.0,3300][0.4,4600]"
6,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,8400,"[3.0,100][0.4,2800][0.0,8400]"
10,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.7138047138047138,11700,"[0.7138047138047138,100]"
10,math,MATH-81b,81b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.7138047138047138,9400,"[0.7138047138047138,100]"
10,math,MATH-98b,98b,java.lang.ArrayIndexOutOfBoundsException,1,62328,3.0,14700,"[3.0,100]"
1,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,24400,"[4.8,100]"
2,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,22100,"[4.8,100]"
3,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,24200,"[4.8,100]"
4,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,19900,"[4.8,100]"
5,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,18200,"[4.8,100]"
7,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,22600,"[4.8,100]"
6,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,20200,"[4.8,100]"
8,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,19600,"[4.8,100]"
9,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,24400,"[4.8,100]"
10,mockito,MOCKITO-34b,34b,java.lang.ArrayIndexOutOfBoundsException,1,62328,4.8,21500,"[4.8,100]"
1,mockito,MOCKITO-3b,3b,java.lang.ArrayIndexOutOfBoundsException,1,62328,5.896551724137931,1600,"[5.896551724137931,100]"
1,mockito,MOCKITO-3b,3b,java.lang.ArrayIndexOutOfBoundsException,2,62328,3.0,28600,"[3.0,100]"
1,mockito,MOCKITO-3b,3b,java.lang.ArrayIndexOutOfBoundsException,3,62328,3.0,14800,"[4.0,100][3.0,200]"
1,mockito,MOCKITO-3b,3b,java.lang.ArrayIndexOutOfBoundsException,4,62328,3.0,21900,"[3.0,100]"
