execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,200,"[5.85,100][0.0,200]"
4,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
8,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
1,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
3,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
2,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
2,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
5,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,700,"[3.0,100][0.0,700]"
3,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
9,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
7,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
9,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
10,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
4,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
6,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
8,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
7,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
10,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,1100,"[5.75,100][3.0,200][0.0,1100]"
5,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
1,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,100,"[0.0,100]"
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,1000,"[5.85,100][3.0,200][0.0,1000]"
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,1300,"[4.0,100][3.0,200][0.0,1300]"
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,1600,"[3.0,100][0.0,1600]"
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,1500,"[3.0,100][0.0,1500]"
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,400,"[5.75,100][3.0,200][0.0,400]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,200,"[5.75,100][0.0,200]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,400,"[5.85,100][0.0,400]"
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,600,"[3.0,100][0.0,600]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,400,"[3.0,100][0.0,400]"
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,800,"[3.0,100][0.0,800]"
6,lang,LANG-12b,12b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]"
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,300,"[3.0,100][0.0,300]"
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,400,"[3.0,100][0.0,400]"
4,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,1700,"[3.0,100][0.0,1700]"
2,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,2600,"[5.75,100][3.0,500][0.0,2600]"
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,1500,"[3.0,100][0.0,1500]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,700,"[3.0,100][0.0,700]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,1,62328,0.0,1000,"[5.75,100][3.0,400][0.0,1000]"
3,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,2,62328,0.0,2000,"[4.421052631578947,100][4.4,200][3.0,300][0.0,2000]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,1400,"[3.0,100][0.0,1400]"
5,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,4,62328,0.0,1500,"[4.0,100][3.0,200][0.0,1500]"
6,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,5,62328,0.0,2100,"[3.0,100][0.0,2100]"
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,3,62328,,,
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,6,62328,0.8181818181818182,29200,"[3.0,100][0.8181818181818182,5300]"
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,7,62328,,,
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,8,62328,,,
1,lang,LANG-9b,9b,java.lang.ArrayIndexOutOfBoundsException,9,62328,,,
