"execution_idx","application","case","version","exception_name","frame_level","search_budget","fitness_function_value","number_of_fitness_evaluations","fitness_function_evolution","p_object_pool","seed_clone","seed_mutations"
2,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
2,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
2,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
16,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
3,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
3,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
8,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,60600,"[5.0,100]",0,0.2,3
3,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,200,"[4.5,100][0.0,200]",0,0.2,3
4,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
19,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
4,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
10,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,50100,"[5.0,100]",0,0.2,3
11,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,61100,"[5.0,100]",0,0.2,3
12,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,54800,"[5.0,100]",0,0.2,3
27,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
4,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
18,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
15,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
14,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,57500,"[5.0,100]",0,0.2,3
5,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
5,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
5,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,200,"[4.5,100][0.0,200]",0,0.2,3
21,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
6,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
20,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,48500,"[5.0,100]",0,0.2,3
6,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
28,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
29,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,62400,"[5.0,100]",0,0.2,3
6,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
22,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,54400,"[5.0,100]",0,0.2,3
23,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,41400,"[5.0,100]",0,0.2,3
24,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,48400,"[5.0,100]",0,0.2,3
25,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,39800,"[5.0,100]",0,0.2,3
7,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
7,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
7,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
26,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,54400,"[5.0,100]",0,0.2,3
8,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
8,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
8,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
30,mockito,MOCKITO-12b,12b,java.lang.ClassCastException,1,62328,5.0,42300,"[5.0,100]",0,0.2,3
9,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
9,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
9,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
1,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
1,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,900,"[5.0,100][4.0,300]",0,0.2,3
1,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
1,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
2,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1000,"[5.0,100][4.0,200][3.0,1000]",0,0.2,3
2,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
2,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
2,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
8,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,400,"[5.0,100][0.0,400]",0,0.2,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
3,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,800,"[5.0,100][4.0,300]",0,0.2,3
3,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
3,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
3,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
5,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,800,"[5.0,100][4.0,200][0.0,800]",0,0.2,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
4,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1000,"[4.0,100][3.0,900]",0,0.2,3
4,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,200,"[4.5,100][0.0,200]",0,0.2,3
4,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
4,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,300,"[4.5,100][0.0,300]",0,0.2,3
5,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
5,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
5,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
13,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
13,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
13,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
6,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,900,"[5.0,100][4.0,200][3.0,900]",0,0.2,3
6,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
6,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
14,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
6,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
14,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
14,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
7,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1100,"[5.0,100][4.0,200][3.0,900]",0,0.2,3
7,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
7,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
15,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
15,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
7,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
15,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,200,"[0.6,100][0.0,200]",0,0.2,3
8,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
8,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
8,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
9,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1400,"[5.0,100][4.0,200][3.0,500]",0,0.2,3
9,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
9,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
9,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,600,"[5.0,100][4.0,300][0.0,600]",0,0.2,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,800,"[5.0,100][4.0,600]",0,0.2,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
14,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,900,"[5.0,100][4.0,300][0.0,900]",0,0.2,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,800,"[5.0,100][4.0,300]",0,0.2,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
20,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
15,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,900,"[5.0,100][3.0,300][0.0,900]",0,0.2,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
20,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
20,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
13,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,1500,"[5.0,100][4.0,200]",0,0.2,3
13,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
13,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
13,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
21,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
21,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
21,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,400,"[4.5,100][0.0,400]",0,0.2,3
14,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,1100,"[5.0,100][4.0,200][0.0,1100]",0,0.2,3
14,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
22,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
14,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
22,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
22,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
15,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
15,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
15,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,1200,"[5.0,100][4.0,400][0.0,1200]",0,0.2,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,600,"[5.0,100][4.0,200][0.0,600]",0,0.2,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
20,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,500,"[4.0,100][0.0,500]",0,0.2,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,700,"[5.0,100][4.0,400][0.0,700]",0,0.2,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
27,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
27,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,200,"[4.5,100][0.0,200]",0,0.2,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
27,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
20,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
28,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
28,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
28,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
20,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
20,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
21,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1100,"[5.0,100][4.0,400][3.0,1100]",0,0.2,3
21,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
21,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
21,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,1200,"[5.0,100][4.0,400][0.0,1200]",0,0.2,3
29,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
29,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
29,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,200,"[0.6,100][0.0,200]",0,0.2,3
22,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1000,"[5.0,100][4.0,200][3.0,800]",0,0.2,3
22,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
22,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
22,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0,0.2,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0,0.2,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0,0.2,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,600,"[5.0,100][4.0,200]",0,0.2,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,600,"[5.0,100][4.0,200]",0,0.2,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0,0.2,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.0,1400,"[5.0,100][4.0,300][0.6,900][0.0,1400]",0,0.2,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0,0.2,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0,0.2,3
